"Year","Bogota","Medellin","Cali","Barranquilla","Bucaramanga"
1985,3804636,1450177,1591869,833919,324953
1986,3972841,1477968,1632266,850019,331550
1987,4139946,1509845,1669597,865925,339107
1988,4306433,1541818,1704288,881523,346661
1989,4471841,1573460,1735943,896841,354354
1990,4635514,1604309,1764695,911760,362160
1991,4798274,1634928,1791823,926458,370185
1992,4962022,1665384,1818804,941203,378382
1993,5138233,1696362,1847224,956524,387236
1994,5296708,1726016,1873393,970263,395712
1995,5455819,1756761,1898665,983505,404395
1996,5614203,1787831,1922911,996262,413058
1997,5768738,1816301,1945976,1008573,421729
1998,5916230,1847391,1967697,1020549,430229
1999,6055303,1877865,1988016,1032205,438388
2000,6184880,1907859,2006728,1043327,446629
2001,6304362,1936860,2023671,1053899,454518
2002,6414904,1965015,2039176,1063877,462341
2003,6518528,1992640,2054026,1073146,469905
2004,6616513,2019930,2069046,1082061,477547
2005,6710910,2046341,2084896,1090935,484962
2006,6801343,2074195,2100705,1098936,492693
2007,6884569,2101771,2114530,1106754,500260
2008,6960512,2129336,2125561,1114090,507605
2009,7031399,2157094,2135980,1121221,514867
2010,7096886,2185539,2146535,1128038,522105
2011,7152656,2213549,2156926,1134420,528984
2012,7195980,2240690,2165625,1140345,535617
2013,7228427,2266969,2172204,1146186,542098
2014,7252949,2293601,2178842,1151863,548447
2015,7273265,2320791,2186576,1158051,554885
2016,7300918,2351077,2195915,1167555,562123
2017,7337449,2385018,2205615,1180860,570253
2018,7412566,2427129,2227642,1206319,581130
2019,7592871,2483545,2241491,1243056,595635
2020,7743955,2533424,2252616,1274250,607428
2021,7834167,2573220,2264748,1297082,614269
2022,7901653,2612958,2280907,1312473,618967
